KEY,BK_AC_TYPE_ID,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,CALC_RETURN_CODE,TINV,S,N,X_BAR,SXX,E,ERROR_TYPE,MASS_RATIO,ERROR_RATE_FUEL_PER_NM,AO_FUEL_VERSION_ID,CREA_DATE,CREA_NOTE,VALID_FROM,VALID_TO
C750----,101,C750,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,16245.76596,0,999999,0,376.9651468,1.848718872,1.159,,,,,,,,,,,5.1,,,,
C97----,102,C97,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,P,3.1,79545,0,999999,0,846.8619495,5.967584117,1.159,,,,,,,,,,,5.1,,,,
CAT----,1586,CAT,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,12162.68423,0,999999,0,326.0272873,1.486362916,1.159,,,,,,,,,,,5.1,,,,
CL2P----,117,CL2P,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,17577.0595,0,999999,0,393.5734952,1.966865453,1.159,,,,,,,,,,,5.1,,,,
CL2T----,611,CL2T,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,19757.38452,0,999999,0,174.9221979,2.214842769,1.159,,,,,,,,,,,5.1,,,,
CL30----,1976,CL30,"Jet <43,3T",AO SAMPLE,CL30,J,3.15,17455.80221,0,999999,0,414.6190488,1.872954153,1.159,,,,,,,,,,,5.1,,,,
CL35----,3409,CL35,"Jet <43,3T",AO SAMPLE,CL35,J,3.15,18603.49528,0,999999,0,455.9739086,1.721008173,1.159,,,,,,,,,,,5.1,,,,
CL60----,612,CL60,"Jet <43,3T",AO SAMPLE,CL60,J,3.15,21443.7057,0,999999,0,347.0309376,2.231227698,1.159,,,,,,,,,,,5.1,,,,
CN35----,1107,CN35,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,16116.35739,0,999999,0,153.604591,1.91051554,1.159,,,,,,,,,,,5.1,,,,
CNBR----,1600,CNBR,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,24500,0,999999,0,479.939577,2.581246669,1.159,,,,,,,,,,,5.1,,,,
CONI----,123,CONI,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,P,3.1,50481.152,0,999999,0,753.7972081,5.021103457,1.159,,,,,,,,,,,5.1,,,,
CRJ1----,130,CRJ1,"Jet <43,3T",AO SAMPLE,CRJ1,J,3.15,22136.55833,0,999999,0,423.0969582,2.619299159,1.159,,,,,,,,,,,5.1,,,,
CRJ2----,624,CRJ2,"Jet <43,3T",AO SAMPLE,CRJ2,J,3.15,23535.44328,0,999999,0,449.626096,2.588697834,1.159,,,,,,,,,,,5.1,,,,
